author,commits,sum_delta_ccn_sum,sum_delta_nloc,sum_additions,sum_deletions,additions_por_delta_ccn_sum
OTA-Bot,64,0,-4,241,245,0.0
827362,7,45,759,949,415,21.089
kevinveenbirkenbach,6,38,301,574,193,15.105
rubenayla,5,1137,4450,6187,10,5.442
GUESTVALENCIA,4,153,1974,3117,549,20.373
claude,4,25,320,537,142,21.48
kp30evg,4,223,47961,20004,2696,89.704
semantic-release-bot,3,0,2421,78,3,0.0
kudo-sync-bot,3,0,-155,54,209,0.0
steebchen,3,19,497,671,99,35.316
maruyamadr,3,77,1800,2359,117,30.636
okeidar,2,195,2522,3424,252,17.559
clarencemoreno,2,0,71,108,22,0.0
Austin Wallace,2,0,104,173,48,0.0
chr-hertel,2,24,220,362,4,15.083
alishaallie,2,2,149,339,116,169.5
bluegreenmirror,2,0,150,242,13,0.0
crothmeier,2,403,2923,4138,34,10.268
ifukazoo,2,0,0,10,10,0.0
barry76,2,1,12,19,7,19.0
rajstories,2,-1,3190,1039,18,1039.0
Nicole Jolie Be Socially Smashing,2,0,23,89,62,0.0
remilatoufik1-byte,2,21,63,102,19,4.857
chasemarshall,2,30,108,290,9,9.667
ShuhaoZQGG,2,14,11583,12179,354,869.929
Nostalagic-ash777,2,0,15,27,0,0.0
backspacevenkat,2,86,1336,2238,84,26.023
kmayhew2020,2,120,1002,1536,182,12.8
citruswhale,1,12,190,279,9,23.25
cdleary,1,69,130,158,0,2.29
renovate[bot],1,0,0,82,82,0.0
drew-y,1,-15,-22,45,73,3.0
daoch4n,1,0,2,2,0,0.0
Amberh2616,1,273,-119411,6501,1192,23.813
ChrisChoTW,1,0,0,87,0,0.0
contactevin2u,1,0,3,10,7,0.0
johnmichaelkucz,1,2,11,19,6,9.5
jj3ny,1,816,3418,4697,171,5.756
github-actions[bot],1,0,75,423,380,0.0
marekprusinski,1,55,1084,1304,102,23.709
laciferin2024,1,560,2591,4691,1077,8.377
Copilot,1,18,171,243,2,13.5
redandcold,1,57,-5,1066,207,18.702
datablogin,1,91,515,755,107,8.297
skyasu2,1,0,176,306,52,0.0
RoninXu,1,28,251,438,10,15.643
Dip-ankar,1,0,-6,0,0,0.0
Votre Nom,1,3,8940,26,26,8.667
RewLight,1,-2,-336,685,1063,342.5
MACBOOK,1,191,4462,6354,171,33.267
chyx,1,89,812,1005,13,11.292
araeLaver,1,41,674,735,0,17.927
root,1,0,264,341,5,0.0
michael-borck,1,20,73,108,30,5.4
frontunafronend,1,4,111,152,18,38.0
harbinzhang,1,0,0,2,3,0.0
thomasveit89,1,161,1467,1992,37,12.373
mainstop3,1,9,34,94,5,10.444
Nail Muradov,1,5,18,49,23,9.8
Polina,1,0,0,0,0,0.0
lee197,1,15,253,1064,530,70.933
aryorogo4-gif,1,0,34,43,0,0.0
vm799,1,0,267,276,9,0.0
nabariho,1,1,1041,1372,141,1372.0
smeinecke,1,0,-815,1508,2323,0.0
brudallism,1,33,2471,2732,224,82.788
KAMAL KISHOR,1,28,155,403,25,14.393
Duke Kesten,1,-102,952,2349,373,23.029
Satoshi91,1,45,415,622,7,13.822
gabrielmoreiradevs,1,5,59,77,0,15.4
Cathackr,1,26,1078,430,10,16.538
Francesco Puglia,1,255,1822,2283,119,8.953
Antonio Mendoza,1,0,2264,3126,846,0.0
lisega8121,1,36,688,849,51,23.583
Alvarezitooo,1,19,68,144,36,7.579
rsmithlal,1,1,11,14,1,14.0
Zoran-IA-Mimetique,1,0,17,24,0,0.0
victorsolmn,1,2,1214,2198,674,1099.0
drewverlee,1,1,595,668,54,668.0
Tamoghna12,1,-115,4169,5614,139,48.817
pireifej,1,0,-27,38,69,0.0
ipergamali,1,0,0,12,12,0.0
timvw,1,30,506,723,49,24.1
bertvanbrakel,1,3,32,56,16,18.667
benthamite,1,0,44,80,32,0.0
micahbrochin-debug,1,49,62,86,21,1.755
JAGAN666,1,0,0,230,29,0.0
henryekeocha108,1,30,144,384,0,12.8
jessmartin,1,-583,-3173,2852,6421,4.892
Franksami,1,16362,237108,289713,33477,17.706
Dmpotr,1,309,2118,2880,101,9.32
